Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,"",OWS,DWS,WS,WS/48,"",OBPM,DBPM,BPM,VORP
102,Luka Dončić,PG,23,DAL,7,256,36.1,.609,.341,.457,4.0,25.2,14.9,52.3,2.4,1.1,10.0,40.5,NA,1.4,0.4,1.8,.342,NA,9.5,2.6,12.1,0.9
103,Tyler Dorsey,SG,26,DAL,1,4,107.8,1.125,.250,.000,31.7,29.8,30.7,0.0,0.0,0.0,0.0,45.0,NA,0.1,0.0,0.1,1.778,NA,42.8,9.4,52.2,0.1
104,Luguentz Dort,SG,23,OKC,8,255,11.3,.474,.450,.303,3.4,9.1,6.1,9.2,2.2,0.7,5.4,21.2,NA,0.0,0.3,0.3,.058,NA,-3.8,-0.7,-4.5,-0.2
105,Ayo Dosunmu,PG,23,CHI,8,244,13.8,.599,.388,.100,1.7,14.7,7.9,16.3,1.8,0.8,11.6,16.4,NA,0.3,0.3,0.6,.121,NA,-1.0,1.2,0.2,0.1
106,Jeff Dowtin,PG,25,TOR,2,8,18.9,.500,.000,.000,0.0,14.4,7.1,41.0,0.0,0.0,0.0,21.7,NA,0.0,0.0,0.0,.149,NA,-1.3,-2.2,-3.5,0.0
107,Goran Dragić,PG,36,CHI,9,156,16.4,.581,.418,.209,1.3,9.7,5.3,32.8,0.6,1.2,12.0,22.6,NA,0.3,0.1,0.4,.134,NA,2.4,-0.6,1.8,0.2
108,Andre Drummond,C,29,CHI,6,101,22.7,.559,.047,.279,22.9,44.7,33.3,8.4,2.8,2.8,18.6,24.9,NA,0.1,0.3,0.3,.156,NA,-1.0,-0.2,-1.3,0.0
109,Chris Duarte,SF,25,IND,8,172,9.3,.539,.536,.174,2.5,9.9,6.1,5.8,0.3,2.2,9.7,19.3,NA,0.0,0.0,0.0,.006,NA,-2.2,-2.9,-5.1,-0.1
110,David Duke Jr.,SG,23,BRK,2,39,7.7,.551,.200,.200,6.0,8.7,7.4,11.0,2.5,0.0,21.6,15.8,NA,0.0,0.0,0.0,-0.006,NA,-6.5,-0.7,-7.2,-0.1
111,Kevin Durant,PF,34,BRK,8,302,26.8,.661,.255,.503,1.5,15.4,8.6,21.2,1.3,4.7,13.6,33.4,NA,1.0,0.1,1.1,.168,NA,6.0,-0.3,5.7,0.6
112,Jalen Duren,C,19,DET,7,145,13.8,.541,.024,.390,15.2,18.7,16.9,1.1,0.3,5.2,15.8,16.4,NA,0.0,0.1,0.1,.032,NA,-3.0,-2.5,-5.5,-0.1
113,Tari Eason,PF,21,HOU,9,152,16.2,.492,.242,.113,12.3,18.1,15.0,6.3,2.8,4.1,8.4,19.0,NA,0.1,0.2,0.3,.096,NA,-0.8,0.1,-0.7,0.1
114,Anthony Edwards,SG,21,MIN,8,295,14.4,.542,.417,.212,1.4,15.0,8.4,16.9,1.4,0.9,12.8,27.3,NA,0.0,0.4,0.3,.056,NA,-0.6,-1.2,-1.8,0.0
